L1time,L1bx,L1by,L1bz,L1btot,L1n,L1T,L1V_x,L1V_y,L1V_z,L1V_tot,L1P_dyn,L2time,L2bx,L2by,L2bz,L2btot,L2n,L2T,L2V_x,L2V_y,L2V_z,L2V_tot,Rmp,Rbs,Long
01:05,3.5943766666666668,-1.5334083333333333,1.2380993333333334,4.123281040895159,11.149733333333332,19198.91702634461,-327.32933333333335,-26.585066666666666,-20.3475,329.04149023730423,2.0164489039968694,03:16,-7.038559472999999,-0.09829767699999986,-23.084559499999997,24.679420300000007,28.054233970000006,1483569.0415626662,-68.51523755,85.35982498999996,-47.38154092999999,119.98904600020427,8.415728723942223,10.730054123026335,69.83589361158812
01:10,3.769888333333333,-0.9947896666666667,0.35439211666666665,4.077390065005013,10.03616,17810.87742877859,-327.68233333333336,-28.42486666666667,-21.839,329.64353283561553,1.8201873949934566,03:09,-6.850764131000001,2.974943253,-26.3032159,27.6828499,24.594642369999992,1493082.2347773334,-78.32443316,89.51575009,-34.858828929999994,124.5549039300596,8.559398501057004,10.91323308884768,70.01311902355278
01:15,3.662188333333333,0.7542823333333333,-0.27914751666666665,3.769101460813207,9.199063333333333,14599.074419826089,-329.69866666666667,-26.975066666666667,-25.926433333333332,331.819582572466,1.6909071223244807,03:04,-6.585928709999999,0.15677259099999985,-25.3206855,26.910492999999995,24.901179920000008,1616076.6978359998,-78.87138650000001,86.24019058000002,-38.64785147,123.81590394627553,8.66552254867762,11.048541249563966,70.1410653770427
01:20,3.426121666666667,1.9240016666666666,-0.5809255,3.979941554036104,8.767816666666667,12798.833998491951,-329.75233333333335,-22.656066666666664,-23.5391,331.3681136466285,1.6078252626709506,02:59,-5.763628016000001,0.7997953009999997,-24.178836,25.20191699999999,28.20936517000001,1428014.3236506665,-87.62902185000002,88.22461976000002,-34.174510000000005,129.34639971948633,8.739110159994118,11.1423654539925,70.22835388859367
01:25,3.4655050000000003,1.0389278833333335,-0.5659595,3.739839598882956,8.991506666666668,12427.678861232693,-327.959,-24.098,-22.7475,329.637091627588,1.6316665946434659,02:54,-1.406072699999999,-4.148204699999998,-16.091431,18.942384999999998,32.60412363,1430157.8427973327,-73.00463083000001,84.97329931999998,-30.746349609999992,116.45276357688513,8.7177001276691,11.115067662778104,70.20307659530033
01:30,3.65216,0.8333508333333334,0.6095916666666668,3.837581859874275,9.108846666666667,13545.608785259261,-328.3396666666667,-22.41246666666667,-22.390299999999996,329.8672490243468,1.6550830757095456,02:49,-7.697364569999998,5.354905230000001,-18.497437599999998,21.097313399999997,27.712792690000004,1426864.480494667,-78.26893382999998,83.98676877,-33.04706688000001,119.8415232962578,8.696858370630546,11.088494422553946,70.17837674226705
01:35,3.7062649999999997,1.413001666666667,1.0709993333333334,4.1241958477143355,9.729420000000001,14479.646335370378,-332.0883333333333,-36.4655,-24.8154,335.1948982437469,1.8302676673742837,02:44,-6.572084099999999,8.192868900000002,-20.259089299999996,22.984922,26.820164209999994,1382736.4177120002,-83.14348881000004,79.72152054999998,-30.696992930000008,119.60330363253517,8.556032071753897,10.90894089148622,70.009019729716
01:40,3.7791333333333337,1.6732666666666667,1.8404566666666666,4.531123519710268,10.056286666666667,15581.4691572649,-331.055,-27.926599999999997,-26.274666666666665,333.27937902303114,1.8640306229623853,02:39,-4.71832634,3.915349073999999,-16.479355499999997,17.992026799999998,30.46554789000001,1390125.4249200001,-85.92749251,80.80863454,-28.802920190000012,121.71542502788294,8.525311842213473,10.869772598822177,69.97149470502741
01:45,3.8062883333333333,0.9854433333333334,0.8305098333333332,4.22820249865427,9.495283333333335,15270.856987978264,-330.0063333333333,-23.2961,-25.332700000000003,331.79662063157156,1.7451019575877809,02:34,-4.399018935000002,2.437924059999999,-16.377484099999997,17.986594999999998,32.73643932,1427213.5633160004,-94.04193093999997,76.97959361,-33.79762129999999,126.46063572661302,8.620068589944138,10.990587452178776,70.08656669058556
01:50,3.8903816666666664,0.6004573333333334,0.1889940516666667,3.9536858130101264,9.47513,14336.650214427542,-330.904,-25.194000000000003,-25.26,332.8249416870302,1.753408454839926,02:29,-3.7675151800000015,1.8596240954000007,-17.887338000000003,18.727961999999994,33.72570878,1440281.3793693332,-94.08202288000008,81.61689016000001,-36.3929558,129.95070666675866,8.614231614422817,10.98314530838909,70.07953563343831
01:54,3.8873683333333333,1.2406469999999998,0.762985,4.172444750351949,10.784,17803.51307326651,-330.14899999999994,-20.600566666666666,-19.990033333333333,331.41658908672684,1.9781098984304666,02:24,-0.8590803080000013,-2.781770049999999,-13.335695699999999,14.979268799999991,36.12527013000001,1489001.8445680002,-101.00369444,81.12184131000002,-34.64276126999999,134.31276341630112,8.442374915951229,10.764028017837816,69.8691199981628
01:59,3.8404683333333334,1.0489975,0.9921118333333334,4.194749703491872,10.855866666666666,16321.819067054756,-329.5253333333333,-22.89276666666667,-19.2717,330.908271491915,1.9852695891686836,02:19,-2.32082119,-1.2848035259999997,-15.2479682,15.978881400000004,37.433761370000006,1446356.4916586664,-97.24822354999998,78.16136974999999,-37.4518162,130.55574301395652,8.437350121905498,10.75762140542951,69.86286693088417
02:04,3.769246666666667,1.5664049999999998,0.87647,4.2185983695756235,12.037233333333333,17634.234934295495,-328.5843333333333,-30.082933333333333,-19.71773333333333,330.56180608446687,2.196223939262962,02:14,-5.238154733,6.371060624999997,-10.31397172,14.727957500000004,43.16347795999998,1312240.0876066668,-94.03905870999998,79.08535217,-27.526503982000005,126.85888783319446,8.29622824153444,10.57769100795641,69.68482997151061
02:09,4.123135,2.0442283333333333,-1.5259615,4.853456828781982,10.646299999999998,16480.916023461356,-330.03133333333335,-28.284233333333333,-17.0508,331.68076206921745,1.9558446023402014,02:09,-2.9911493669999993,2.645809556000001,-12.446626510000003,14.146153199999997,40.05281225999999,1399599.2389960003,-94.59205165000004,77.89198438,-34.429942280000006,127.74850543146803,8.458229890205732,10.784243110012309,69.88881242486656
02:14,4.2876900000000004,1.8338923333333332,-2.3049519833333334,5.327595314442708,10.822366666666667,17346.09305482931,-332.841,-29.625133333333334,-20.4877,334.78582081065724,2.0256264453756665,02:04,-1.4975786220000007,-2.1970945130000006,-16.156807,16.592983,36.771727479999996,1486637.2838640008,-101.36242315999998,81.84726153,-36.857424019999996,135.60044679261435,8.408979680411548,10.721449092524724,69.82745172950865
02:19,4.052805,1.0574178333333333,-2.329815,4.7964101255488485,11.505633333333334,17430.529599031408,-333.75966666666665,-30.720299999999998,-18.4659,335.68313920253763,2.165160013674718,01:59,0.5366888617000002,-7.0871870500000025,-14.013471700000004,16.038642,40.7336058,1436091.8590666659,-111.79626240000003,77.12684517999999,-37.13753465,140.94274343150718,8.316190543253182,10.603142942647807,69.7103014848731
02:24,4.104701666666667,1.1581773333333334,-2.12505,4.772719476359103,12.003666666666666,18674.540726295494,-331.5973333333333,-29.14506666666667,-21.59483333333333,333.5992256470195,2.232620616256899,01:54,3.056415962000001,-9.4322695,-13.467323100000002,17.171094800000002,46.676098490000015,1452951.9535386667,-127.6737694,77.85549135999999,-38.29851702999999,155.08026445485967,8.274822689416128,10.550398929005564,69.65740986924082
02:29,5.018001666666668,2.5907183333333332,-3.5695216666666667,6.692652820960294,14.9459,21498.823760669085,-345.3016666666667,-32.48563333333333,-26.702866666666665,348.0176796560866,3.1816736981996425,01:50,1.8999392,-4.6415273,-5.399632299999999,7.413329400000004,15.049791468,353668.60343599983,-344.2084386,-18.236590819999993,-34.69744326,348.0794364948885,7.866204776788042,10.029411090404754,69.11168406553271
