Time,IMF B_x,IMF B_y,IMF B_z,IMF B_tot,n,T,V_x,V_y,V_z,V_tot,P_dyn
2008-05-27T23:22:16.656Z,3.531625,-0.3701325,2.145745,4.148926947200475,9.46489,12735.405420173915,-336.234,-21.5665,-22.1534,337.65246898225104,3.604142031400169
2008-05-27T23:23:51.421Z,3.569245,-0.5729875,2.20439,4.234047687176096,10.1223,15450.170896347827,-335.347,-20.086,-21.3715,336.62709162699605,3.8311027615926174
2008-05-27T23:25:35.375Z,3.673625,-0.693672,2.35797,4.420036652009687,9.95015,13480.07381684783,-337.681,-17.8779,-20.0361,338.74698872849035,3.8135283665199884
2008-05-27T23:27:10.148Z,3.69414,-1.039654,2.377555,4.5144566181702315,10.6806,15299.282457729472,-335.368,-18.3486,-20.2965,336.4822647008457,4.038931374611875
2008-05-27T23:28:49.507Z,3.673175,-0.8070295000000001,2.398035,4.4602783607887355,10.0523,14056.864225543482,-338.859,-18.1175,-20.3158,339.95058084505456,3.880105043157703
2008-05-27T23:30:27.335Z,3.6022800000000004,-0.7226875,1.9273449999999999,4.148898307994696,8.61955,11921.295774896138,-338.83,-19.0869,-18.9479,339.89572160593605,3.326001617127315
2008-05-27T23:32:05.164Z,3.491245,-0.4521205,1.330555,3.7634533615510968,9.18773,12325.483244847832,-339.079,-18.8275,-16.2365,339.98921590176946,3.547194273852105
2008-05-27T23:33:44.531Z,3.545855,-0.4096395,1.654715,3.9343327175278717,9.06315,11943.219099243965,-340.171,-22.9796,-23.5014,341.7553028983164,3.535543287028344
2008-05-27T23:35:22.359Z,3.5729800000000003,-0.9535669999999999,1.69123,4.066415499772374,9.38965,12139.195964673916,-340.098,-23.3569,-24.2684,341.76183171935685,3.6630511945336375
2008-05-27T23:37:00.195Z,3.6365350000000003,-1.10599,1.8844450000000001,4.242491443049709,9.24993,14811.61226098309,-341.376,-23.6986,-22.4566,342.9336610796904,3.6333325101801184
2008-05-27T23:38:38.023Z,3.57371,-0.9220945,1.8760750000000002,4.140207583763797,9.05304,14694.200756521741,-341.116,-24.6962,-22.831,342.7700137285057,3.5526019499119736
2008-05-27T23:40:09.742Z,3.619525,-0.27658249999999995,2.01932,4.1539273425676635,8.88295,14686.502822946864,-334.184,-25.4464,-25.9345,336.15333319663813,3.352575201534903
2008-05-27T23:41:53.648Z,3.5506650000000004,-0.07894614999999999,1.489445,3.851220695422404,8.27219,11768.396425543482,-333.553,-27.0994,-24.4187,335.5417324254168,3.1107137778794844
2008-05-27T23:43:29.953Z,3.50104,-0.0757697,1.56969,3.837570693177924,8.79162,12175.190595671504,-334.787,-25.3158,-23.4144,336.55825532290834,3.3261043520440228
2008-05-27T23:45:06.257Z,3.489535,-0.2293017,1.734725,3.9036783437513,9.07345,13555.985294896142,-334.087,-26.2385,-22.3244,335.8585435664991,3.4184695665012117
2008-05-27T23:46:44.085Z,3.52359,-0.6767235,1.964365,4.090522098311809,9.40697,13499.25308109904,-333.156,-27.9372,-21.89,335.04116102329874,3.5268952060907592
2008-05-27T23:48:18.859Z,3.65117,-1.252665,1.863875,4.286518632497706,9.30624,13789.622289584546,-332.66,-26.3002,-20.8495,334.34873675593576,3.4747221969440063
2008-05-27T23:49:56.695Z,3.59649,-1.33165,1.810115,4.240819302425535,11.3498,16868.201296347834,-330.671,-27.2037,-22.6103,332.5576298940982,4.192455949926799
